Planet: {x: 703.2291046309314, y: 392.06130840454233, z: 814.9882559583394}, Habitable: false, Surface Area: 0
Planet: {x: 503.9306252265423, y: 74.18559594975905, z: 726.7481283927892}, Habitable: true, Surface Area: 47700649
Planet: {x: 636.9763095709209, y: 737.551983892157, z: 825.477933777389}, Habitable: true, Surface Area: 96722575
Planet: {x: 203.1694967624058, y: 571.2050580161518, z: 596.7715079873657}, Habitable: true, Surface Area: 62747101
Planet: {x: 880.9390811713081, y: 899.5747646355985, z: 104.78390618786881}, Habitable: true, Surface Area: 98316623
Planet: {x: 386.4530131716522, y: 924.6308602088218, z: 397.08279631576283}, Habitable: false, Surface Area: 0
Planet: {x: 525.901824791279, y: 111.69335128543278, z: 173.54937938871396}, Habitable: false, Surface Area: 0
Planet: {x: 465.5237806211101, y: 288.45335564891326, z: 127.99824690026229}, Habitable: false, Surface Area: 0
Planet: {x: 419.7159766057843, y: 235.81505127680668, z: 439.5260995516015}, Habitable: true, Surface Area: 64373554
Planet: {x: 268.33738594252753, y: 835.7994792300392, z: 355.76829795331236}, Habitable: true, Surface Area: 61089576
Planet: {x: 262.4378404781273, y: 947.134395235933, z: 815.1573398903929}, Habitable: true, Surface Area: 21140336
Planet: {x: 892.6967692666143, y: 297.268235984393, z: 292.73592048942356}, Habitable: false, Surface Area: 0
Planet: {x: 563.9116029514466, y: 877.3404501098468, z: 944.059909045234}, Habitable: true, Surface Area: 16671519
Planet: {x: 299.4597824010743, y: 13.612790662204999, z: 873.2265906267357}, Habitable: true, Surface Area: 32379592
Planet: {x: 135.78020259931913, y: 819.3541328216538, z: 176.3399681797786}, Habitable: true, Surface Area: 3317704
Planet: {x: 331.3380439184388, y: 502.8225820727712, z: 415.4568099288458}, Habitable: false, Surface Area: 0
Planet: {x: 522.2572792862696, y: 484.2455282244997, z: 925.6782618978993}, Habitable: false, Surface Area: 0
Planet: {x: 892.7246740641401, y: 722.8618018368254, z: 234.85235944738793}, Habitable: false, Surface Area: 0
Planet: {x: 200.63648968513425, y: 521.9743918903991, z: 120.68649013577226}, Habitable: true, Surface Area: 48528835
Planet: {x: 234.42051159620482, y: 223.96343931963946, z: 763.8910742699518}, Habitable: false, Surface Area: 0
Planet: {x: 58.28999661558121, y: 829.1607654369977, z: 58.02760480854596}, Habitable: false, Surface Area: 0
Planet: {x: 270.6091822357426, y: 609.8344163319484, z: 752.0194174076926}, Habitable: true, Surface Area: 29034089
Planet: {x: 875.6100309196222, y: 691.3773274919279, z: 717.1127681167193}, Habitable: true, Surface Area: 15772370
Planet: {x: 902.8447950612715, y: 189.3867072609885, z: 626.285608420125}, Habitable: false, Surface Area: 0
Planet: {x: 125.40736017016019, y: 561.5166283882545, z: 444.54751834693565}, Habitable: true, Surface Area: 27026337
Planet: {x: 930.8670848367224, y: 976.7095018385776, z: 964.2687899153634}, Habitable: true, Surface Area: 64225480
Planet: {x: 379.62534866331833, y: 440.1027434685474, z: 446.6245639201152}, Habitable: true, Surface Area: 87969833
Planet: {x: 577.7968481584747, y: 841.6735699755232, z: 40.87487557888747}, Habitable: true, Surface Area: 11494895
Planet: {x: 216.23220740047168, y: 610.1840494758603, z: 87.88284522747603}, Habitable: false, Surface Area: 0
Planet: {x: 854.3154190252893, y: 50.46922358773265, z: 527.8274199231332}, Habitable: true, Surface Area: 82029685
Planet: {x: 975.1949484326518, y: 800.4822817468543, z: 363.4074219777841}, Habitable: false, Surface Area: 0
Planet: {x: 213.33568991234642, y: 939.3550993000268, z: 445.8508141244528}, Habitable: false, Surface Area: 0
Planet: {x: 440.1200831331986, y: 471.3881565286231, z: 669.7473095043307}, Habitable: false, Surface Area: 0
Planet: {x: 853.7960888965746, y: 834.9762142526785, z: 738.6977310674027}, Habitable: true, Surface Area: 54817019
Planet: {x: 368.67623651325965, y: 993.787904795451, z: 419.1331617865695}, Habitable: false, Surface Area: 0
Planet: {x: 564.023989577695, y: 230.6618396693072, z: 752.3681428067492}, Habitable: true, Surface Area: 61232457
Planet: {x: 101.27787836921276, y: 623.9478725888034, z: 132.38950432117247}, Habitable: true, Surface Area: 77275527
Planet: {x: 690.9189990125453, y: 590.1155335836814, z: 756.8825363173388}, Habitable: true, Surface Area: 28342262
Planet: {x: 305.07380561088524, y: 69.6684278090538, z: 216.10825165119473}, Habitable: false, Surface Area: 0
Planet: {x: 383.43554697630066, y: 163.1386859783339, z: 504.2074671804955}, Habitable: true, Surface Area: 23472197
Planet: {x: 953.4146922414164, y: 505.5514689995846, z: 589.6623002137127}, Habitable: false, Surface Area: 0
Planet: {x: 416.4569339608608, y: 519.1687265889813, z: 244.7895784246621}, Habitable: false, Surface Area: 0
Planet: {x: 820.3208769296542, y: 494.1992744614514, z: 229.66487253208356}, Habitable: true, Surface Area: 69031906
Planet: {x: 195.5189561784021, y: 417.44985782110524, z: 762.9414328847937}, Habitable: false, Surface Area: 0
Planet: {x: 281.1385810758886, y: 148.7881014605883, z: 196.79371433343061}, Habitable: false, Surface Area: 0
Planet: {x: 537.3110256811815, y: 553.9976538856241, z: 591.3817376043955}, Habitable: false, Surface Area: 0
Planet: {x: 644.0126157544861, y: 797.790052676328, z: 814.4492770560558}, Habitable: false, Surface Area: 0
Planet: {x: 981.0723025307326, y: 813.5514329617178, z: 817.0347187158278}, Habitable: false, Surface Area: 0
Planet: {x: 189.433775323804, y: 187.7163652520979, z: 347.22201180397747}, Habitable: false, Surface Area: 0
Planet: {x: 712.9024633430574, y: 501.34853619933574, z: 0.2527492036752399}, Habitable: true, Surface Area: 69619551
Planet: {x: 195.90658151677397, y: 674.4067666195464, z: 578.2291938187394}, Habitable: true, Surface Area: 32941378
Planet: {x: 840.7688349385454, y: 726.1333746274574, z: 710.9882649313364}, Habitable: false, Surface Area: 0
Planet: {x: 197.81084117535676, y: 137.89142459126901, z: 414.95030924357246}, Habitable: true, Surface Area: 97871252
Planet: {x: 494.08496811383, y: 813.3707438751643, z: 0.49825683114224084}, Habitable: false, Surface Area: 0
Planet: {x: 73.75393636300176, y: 506.424286573353, z: 269.3999818068291}, Habitable: true, Surface Area: 90107808
Planet: {x: 720.8270395535154, y: 601.9329191518292, z: 907.302116430817}, Habitable: false, Surface Area: 0
Planet: {x: 712.0971045497222, y: 294.4665988413988, z: 345.2186162059447}, Habitable: false, Surface Area: 0
Planet: {x: 958.6410672769159, y: 21.929115073477277, z: 28.538700066877087}, Habitable: true, Surface Area: 24875651
Planet: {x: 592.5878642603058, y: 271.26514143140355, z: 838.3848687562521}, Habitable: false, Surface Area: 0
Planet: {x: 477.1121935286522, y: 188.75614284977726, z: 789.0968920913859}, Habitable: true, Surface Area: 12447351
Planet: {x: 347.9961143199017, y: 973.2970597834068, z: 243.23137033846277}, Habitable: false, Surface Area: 0
Planet: {x: 328.58783256288973, y: 314.6317272352963, z: 189.41738685006214}, Habitable: false, Surface Area: 0
Planet: {x: 201.18520123120476, y: 826.8632381030238, z: 757.2915712084751}, Habitable: true, Surface Area: 7364161
Planet: {x: 694.0961222929014, y: 38.83238518757004, z: 893.9204647158998}, Habitable: false, Surface Area: 0
Planet: {x: 126.61236650001473, y: 981.8516716434647, z: 907.9300404364212}, Habitable: false, Surface Area: 0
Planet: {x: 201.80968102557296, y: 175.0611226234513, z: 375.1944897043384}, Habitable: true, Surface Area: 68994297
Planet: {x: 87.65711610893878, y: 486.62159088608, z: 30.455759334119925}, Habitable: true, Surface Area: 94801954
Planet: {x: 139.8700619458948, y: 908.0001382146969, z: 398.55857832980445}, Habitable: true, Surface Area: 19837530
Planet: {x: 269.799830720187, y: 770.4096739293043, z: 660.2292252582911}, Habitable: false, Surface Area: 0
Planet: {x: 774.9312167583355, y: 979.3847195378504, z: 817.3801814680039}, Habitable: false, Surface Area: 0
Planet: {x: 376.4890698112324, y: 457.03591482560756, z: 729.0345056750577}, Habitable: false, Surface Area: 0
Planet: {x: 163.32115061731446, y: 95.60717157769515, z: 742.3634006359223}, Habitable: true, Surface Area: 34074394
Planet: {x: 703.4299929265509, y: 350.99349626102884, z: 850.9437088474509}, Habitable: false, Surface Area: 0
Planet: {x: 701.6207304990105, y: 759.9465106316289, z: 561.0429042536184}, Habitable: true, Surface Area: 15556053
Planet: {x: 331.51854061906414, y: 596.0456079156108, z: 977.1987453018743}, Habitable: false, Surface Area: 0
Planet: {x: 747.0125280546149, y: 119.38593342764791, z: 21.93816201503651}, Habitable: false, Surface Area: 0
Planet: {x: 136.7113465324672, y: 373.7886386521831, z: 668.7849566703534}, Habitable: true, Surface Area: 25604830
Planet: {x: 710.2659106312443, y: 174.44594525320034, z: 39.51663682174633}, Habitable: true, Surface Area: 86370377
Planet: {x: 944.7329771036335, y: 903.7683489043376, z: 19.08422373144458}, Habitable: false, Surface Area: 0
Planet: {x: 359.9795101567034, y: 579.4032710912409, z: 955.4496095159116}, Habitable: false, Surface Area: 0
Planet: {x: 683.6093889938124, y: 528.7706852661405, z: 318.2966081211915}, Habitable: false, Surface Area: 0
Planet: {x: 333.9010190457905, y: 244.4585882039896, z: 244.36179798809366}, Habitable: false, Surface Area: 0
Planet: {x: 102.31770687551456, y: 685.4687579151444, z: 694.4178364039691}, Habitable: true, Surface Area: 38671484
Planet: {x: 967.5266916257676, y: 758.3086885985701, z: 77.5537669357671}, Habitable: false, Surface Area: 0
Planet: {x: 724.2406833680064, y: 830.1854348767141, z: 422.17135520244375}, Habitable: true, Surface Area: 8395441
Planet: {x: 285.1944106593014, y: 830.1743177417486, z: 749.3148009955015}, Habitable: true, Surface Area: 45858329
Planet: {x: 714.3513462325703, y: 429.0132117227612, z: 324.82797287949717}, Habitable: true, Surface Area: 66680439
Planet: {x: 597.7025766506949, y: 9.499215860193644, z: 476.80567269368026}, Habitable: false, Surface Area: 0
Planet: {x: 248.10049630526865, y: 892.5988287391382, z: 266.912772943785}, Habitable: true, Surface Area: 93563694
Planet: {x: 909.2366157145628, y: 667.2325941457451, z: 129.38527906089558}, Habitable: false, Surface Area: 0
Planet: {x: 419.27695190092317, y: 139.3000011409773, z: 729.6124632618183}, Habitable: false, Surface Area: 0
Planet: {x: 539.0267252595218, y: 352.8257576873826, z: 920.7093976958414}, Habitable: true, Surface Area: 86254899
Planet: {x: 770.1083269454025, y: 723.3086379603226, z: 640.3857320537967}, Habitable: true, Surface Area: 16055716
Planet: {x: 999.8205826917641, y: 802.5691763006357, z: 235.31997890113755}, Habitable: true, Surface Area: 70868195
Planet: {x: 553.3808392332674, y: 88.48872019398345, z: 474.2674689709201}, Habitable: false, Surface Area: 0
Planet: {x: 105.39064275076338, y: 331.76629138055216, z: 912.9806345690488}, Habitable: true, Surface Area: 93233731
Planet: {x: 527.3714681524708, y: 984.6530657141641, z: 374.6117525540444}, Habitable: false, Surface Area: 0
Planet: {x: 90.84563247500488, y: 417.3506761417565, z: 932.9022854877229}, Habitable: true, Surface Area: 99605881
Planet: {x: 24.19175493520487, y: 179.51891815568243, z: 945.7763255848996}, Habitable: false, Surface Area: 0
Planet: {x: 72.23701007814532, y: 137.44453879521612, z: 585.9385315880465}, Habitable: false, Surface Area: 0
Planet: {x: 579.0838942866874, y: 440.3398697356311, z: 926.9985255975383}, Habitable: true, Surface Area: 70052035
Planet: {x: 101.53751197680072, y: 278.99920014438237, z: 18.224638989188247}, Habitable: false, Surface Area: 0
Planet: {x: 469.89484493332714, y: 520.477125665828, z: 182.43584956980885}, Habitable: true, Surface Area: 4845180
Planet: {x: 308.24371806554285, y: 35.97394292197031, z: 26.32716362468912}, Habitable: true, Surface Area: 34040039
Planet: {x: 771.5388540074983, y: 250.90907051666434, z: 88.30589947220524}, Habitable: false, Surface Area: 0
Planet: {x: 677.2788840953737, y: 318.17803018819336, z: 65.88064729982368}, Habitable: false, Surface Area: 0
Planet: {x: 967.7308625996994, y: 549.6368750803724, z: 303.7668721729212}, Habitable: false, Surface Area: 0
Planet: {x: 347.56967887855825, y: 764.6133320619497, z: 363.39399509744317}, Habitable: true, Surface Area: 26788201
Planet: {x: 664.318965135469, y: 543.5675846397372, z: 803.6595492362819}, Habitable: true, Surface Area: 63230076
Planet: {x: 609.3197986401517, y: 630.6702617528895, z: 208.96352079811885}, Habitable: true, Surface Area: 51743757
Planet: {x: 819.2509315514765, y: 149.46507322805448, z: 198.23190815454316}, Habitable: true, Surface Area: 45568795
Planet: {x: 780.0929642468135, y: 202.95054069586072, z: 19.933455322848957}, Habitable: false, Surface Area: 0
Planet: {x: 473.9224847409589, y: 624.6791548969754, z: 224.79782961483053}, Habitable: false, Surface Area: 0
Planet: {x: 105.79797807020275, y: 597.6183258390699, z: 7.532180297750601}, Habitable: false, Surface Area: 0
Planet: {x: 561.1373774899529, y: 134.03808496805513, z: 612.5893821665438}, Habitable: true, Surface Area: 78265834
Planet: {x: 764.3867901486625, y: 813.2006015707351, z: 1.3456437064414128}, Habitable: true, Surface Area: 65383549
Planet: {x: 398.0283968773162, y: 953.7201187318527, z: 474.1929660791371}, Habitable: true, Surface Area: 65713132
Planet: {x: 694.7243147838446, y: 912.6999891100467, z: 78.39146835361265}, Habitable: true, Surface Area: 96039860
Planet: {x: 282.44617878455625, y: 533.9224585976126, z: 654.6785121174883}, Habitable: false, Surface Area: 0
Planet: {x: 386.3007696473735, y: 689.212913176303, z: 328.8051517304278}, Habitable: false, Surface Area: 0
Planet: {x: 687.3943272072418, y: 460.15762375452505, z: 649.5600326380584}, Habitable: true, Surface Area: 35127520
Planet: {x: 481.1167270151004, y: 809.0997842172503, z: 947.8024573330268}, Habitable: true, Surface Area: 34243774
Planet: {x: 819.3404416740226, y: 20.937202737491887, z: 903.9597753251929}, Habitable: true, Surface Area: 68475053
Planet: {x: 953.8641594057817, y: 864.5005854862854, z: 841.8245310863557}, Habitable: true, Surface Area: 25048239
Planet: {x: 400.50573318991536, y: 708.8706408692251, z: 201.27163849588902}, Habitable: false, Surface Area: 0
Planet: {x: 703.3661665509175, y: 415.0800220841488, z: 781.6104993010969}, Habitable: false, Surface Area: 0
Planet: {x: 75.04664485833513, y: 837.5150908562148, z: 6.283970918184778}, Habitable: true, Surface Area: 26945139
Planet: {x: 834.8380143394289, y: 654.178069490011, z: 842.4500997156304}, Habitable: false, Surface Area: 0
Planet: {x: 15.177628433672874, y: 853.0185931268035, z: 823.6135297447161}, Habitable: true, Surface Area: 33242952
Planet: {x: 398.6600355538516, y: 483.6568915189918, z: 436.442786079835}, Habitable: true, Surface Area: 61954035
Planet: {x: 280.4871879175206, y: 521.8880622602206, z: 614.5697082400201}, Habitable: false, Surface Area: 0
Planet: {x: 662.7514479485918, y: 219.402788765231, z: 893.1085416740665}, Habitable: true, Surface Area: 84394452
Planet: {x: 102.50045495120096, y: 995.2802897075763, z: 812.3433790206476}, Habitable: true, Surface Area: 27773878
Planet: {x: 265.8268899727116, y: 35.03966788164714, z: 665.6414151988805}, Habitable: false, Surface Area: 0
Planet: {x: 800.8031087519703, y: 562.6216449679433, z: 416.77990169533996}, Habitable: true, Surface Area: 49189469
Planet: {x: 667.0376271289014, y: 697.8408568453964, z: 653.6434587076907}, Habitable: true, Surface Area: 8795733
Planet: {x: 77.49172805655968, y: 653.0810533138435, z: 534.4121736293963}, Habitable: true, Surface Area: 23427221
Planet: {x: 724.2558014468767, y: 950.6947342132481, z: 327.0961165923858}, Habitable: false, Surface Area: 0
Planet: {x: 124.62482873948998, y: 328.22289590643237, z: 852.9701911564232}, Habitable: true, Surface Area: 45584917
Planet: {x: 229.72667433921012, y: 71.72644925333805, z: 210.63412609508947}, Habitable: false, Surface Area: 0
Planet: {x: 102.04677695922193, y: 982.9182042109652, z: 313.5432833716174}, Habitable: false, Surface Area: 0
Planet: {x: 228.04341512960468, y: 248.56734678004443, z: 582.0819813529885}, Habitable: false, Surface Area: 0
Planet: {x: 167.0210088669597, y: 838.7395829619253, z: 896.4728233568206}, Habitable: true, Surface Area: 93862311
Planet: {x: 464.7526106265778, y: 7.656637199871863, z: 858.1385224261113}, Habitable: true, Surface Area: 58180944
Planet: {x: 74.22344353224841, y: 641.1949568318233, z: 867.327143053285}, Habitable: true, Surface Area: 49233097
Planet: {x: 842.7464330701487, y: 64.60067422917004, z: 281.67552462412715}, Habitable: false, Surface Area: 0
Planet: {x: 143.43225761867419, y: 277.5949350522393, z: 283.22317225489456}, Habitable: false, Surface Area: 0
Planet: {x: 426.5372198196438, y: 37.23542038864069, z: 786.0191676326638}, Habitable: true, Surface Area: 6458498
Planet: {x: 166.37011913434918, y: 249.68148627587271, z: 133.16812711741144}, Habitable: true, Surface Area: 97859923
Planet: {x: 118.22920284008087, y: 54.54861082691953, z: 362.33428840086134}, Habitable: false, Surface Area: 0
Planet: {x: 198.31606380609458, y: 528.9285106697821, z: 133.32600496313373}, Habitable: true, Surface Area: 17840856
Planet: {x: 292.793177921695, y: 353.86881265940673, z: 142.3104822424275}, Habitable: false, Surface Area: 0
Planet: {x: 801.7197009200496, y: 428.0787394310164, z: 841.8415147637947}, Habitable: true, Surface Area: 74309768
Planet: {x: 928.5585919184111, y: 977.7650212463376, z: 648.1878394686352}, Habitable: true, Surface Area: 62489236
Planet: {x: 739.8082723091508, y: 609.4700470450188, z: 20.492809062925275}, Habitable: true, Surface Area: 64721235
Planet: {x: 737.7386921912332, y: 810.7228090845047, z: 822.7954665007222}, Habitable: false, Surface Area: 0
Planet: {x: 4.864285057638806, y: 242.98122120945797, z: 217.97514370685778}, Habitable: true, Surface Area: 2804012
Planet: {x: 746.1377940448477, y: 167.90849777414985, z: 689.2142470733052}, Habitable: false, Surface Area: 0
Planet: {x: 149.92967452603745, y: 551.6635079184135, z: 59.43639782975363}, Habitable: true, Surface Area: 24179017
Planet: {x: 493.1565083673699, y: 74.33919179366578, z: 911.8970056484163}, Habitable: true, Surface Area: 97920228
Planet: {x: 602.902871863217, y: 479.9057366686128, z: 212.35261429683615}, Habitable: false, Surface Area: 0
Planet: {x: 234.9419552799512, y: 39.7956502100818, z: 310.90038712518833}, Habitable: true, Surface Area: 80715078
Planet: {x: 383.63364342977934, y: 617.5184482744068, z: 437.82622190610556}, Habitable: false, Surface Area: 0
Planet: {x: 271.01309910534275, y: 561.421842827554, z: 966.0679388472741}, Habitable: false, Surface Area: 0
Planet: {x: 675.8370666686857, y: 678.232574560721, z: 856.9625447324529}, Habitable: true, Surface Area: 24893762
Planet: {x: 298.9884094269766, y: 810.9449977334205, z: 31.019630318389613}, Habitable: false, Surface Area: 0
Planet: {x: 598.8853118047383, y: 723.0819483143842, z: 290.6729477161953}, Habitable: true, Surface Area: 17202537
Planet: {x: 762.8402419751657, y: 154.41167047661318, z: 384.6016557577703}, Habitable: false, Surface Area: 0
Planet: {x: 493.8441913676246, y: 179.01126053669424, z: 451.75208155901925}, Habitable: false, Surface Area: 0
Planet: {x: 857.791759131712, y: 447.5439209835446, z: 225.68792887064905}, Habitable: true, Surface Area: 65457696
Planet: {x: 314.09361079538576, y: 286.23797892091375, z: 214.38493570797502}, Habitable: true, Surface Area: 89334521
Planet: {x: 269.0910989251547, y: 24.221097778939438, z: 155.57782585470846}, Habitable: true, Surface Area: 24344924
Planet: {x: 993.0677873104419, y: 804.8678694465075, z: 93.23014688485442}, Habitable: false, Surface Area: 0
Planet: {x: 210.20562106842843, y: 156.01985775782467, z: 64.00823698313363}, Habitable: true, Surface Area: 31790346
Planet: {x: 180.70182625117036, y: 558.2878511471334, z: 809.9825903534486}, Habitable: true, Surface Area: 68676750
Planet: {x: 320.78208452441294, y: 16.95358440529615, z: 183.08800113873102}, Habitable: false, Surface Area: 0
Planet: {x: 308.03468652546104, y: 505.93376024736835, z: 154.92271304338945}, Habitable: false, Surface Area: 0
Planet: {x: 510.28323426389653, y: 530.5396738641061, z: 413.9416723201703}, Habitable: false, Surface Area: 0
Planet: {x: 127.209996643187, y: 8.152396899920422, z: 582.55049197127}, Habitable: true, Surface Area: 97715665
Planet: {x: 518.3115852413899, y: 62.86770938659836, z: 602.3659774162553}, Habitable: false, Surface Area: 0
Planet: {x: 261.3379931959994, y: 723.7556657854873, z: 869.7633915720315}, Habitable: true, Surface Area: 67729422
Planet: {x: 369.9238753271572, y: 452.63712185726604, z: 312.73919221149725}, Habitable: false, Surface Area: 0
Planet: {x: 499.3782882630793, y: 707.4005138286681, z: 872.8282552887889}, Habitable: false, Surface Area: 0
Planet: {x: 801.5008289496508, y: 166.84660545538122, z: 894.3688885418819}, Habitable: false, Surface Area: 0
Planet: {x: 833.1260405540193, y: 806.8389138405756, z: 859.6236444337209}, Habitable: true, Surface Area: 95489390
Planet: {x: 871.5180008303172, y: 864.2427876817076, z: 838.4358680477025}, Habitable: false, Surface Area: 0
Planet: {x: 595.3192783544698, y: 42.11062193403481, z: 441.16495657634067}, Habitable: true, Surface Area: 87076462
Planet: {x: 276.57513525692633, y: 400.0577918252619, z: 763.0118001018411}, Habitable: false, Surface Area: 0
Planet: {x: 206.73799861543785, y: 892.4406331373004, z: 424.67853249017827}, Habitable: false, Surface Area: 0
Planet: {x: 160.68663461480858, y: 879.4367995453265, z: 190.50097128780786}, Habitable: true, Surface Area: 33079721
Planet: {x: 148.05532983405612, y: 994.4330428597201, z: 379.6282682358283}, Habitable: false, Surface Area: 0
Planet: {x: 245.0164297882249, y: 685.9447394808931, z: 286.6191680020731}, Habitable: false, Surface Area: 0
Planet: {x: 116.78075180919834, y: 955.6356353575643, z: 472.07576855793667}, Habitable: true, Surface Area: 88535203
Planet: {x: 989.9346517498086, y: 875.8448426992047, z: 16.480338474179845}, Habitable: true, Surface Area: 70601795
Planet: {x: 568.1494014741046, y: 48.27477728289465, z: 189.3319698606366}, Habitable: false, Surface Area: 0
Planet: {x: 97.14500049379792, y: 98.54163546186467, z: 856.0192411540273}, Habitable: true, Surface Area: 55466078
Planet: {x: 816.7650880652973, y: 748.542928357163, z: 999.1232834031114}, Habitable: true, Surface Area: 1273318
Planet: {x: 232.34708303364314, y: 487.76617975423255, z: 307.9587265154258}, Habitable: false, Surface Area: 0
Planet: {x: 513.0543240828081, y: 472.24277683912464, z: 365.64560521570866}, Habitable: false, Surface Area: 0
Planet: {x: 171.38958275628434, y: 946.3511678133269, z: 576.1491408826452}, Habitable: true, Surface Area: 21021184
Planet: {x: 302.2607903107728, y: 569.3366721192863, z: 462.31051300389845}, Habitable: false, Surface Area: 0
Planet: {x: 569.5499304363024, y: 674.8316498861118, z: 503.33484906390225}, Habitable: true, Surface Area: 28962359
Planet: {x: 878.0716996858124, y: 700.0757585041453, z: 847.6817062781263}, Habitable: true, Surface Area: 3056098
Planet: {x: 718.8663913258595, y: 144.38184328731762, z: 979.7398327534761}, Habitable: false, Surface Area: 0
Planet: {x: 246.44076004633675, y: 565.1534721359197, z: 393.36821950706957}, Habitable: false, Surface Area: 0
Planet: {x: 66.94324792125616, y: 455.9586426575826, z: 979.663207809623}, Habitable: true, Surface Area: 88799716
Planet: {x: 496.1138499097153, y: 402.0172662705634, z: 134.82489968036137}, Habitable: false, Surface Area: 0
Planet: {x: 421.82259289786697, y: 152.9744976136962, z: 343.8147380760188}, Habitable: false, Surface Area: 0
Planet: {x: 389.9962494372191, y: 487.70443969584744, z: 479.1186329302002}, Habitable: false, Surface Area: 0
Planet: {x: 427.68422487494263, y: 859.5338909307684, z: 496.1467750654136}, Habitable: false, Surface Area: 0
Planet: {x: 10.029430847102727, y: 901.819774752876, z: 304.6447828849175}, Habitable: false, Surface Area: 0
Planet: {x: 755.4417025560172, y: 661.6376743594044, z: 62.472511075045475}, Habitable: false, Surface Area: 0
Planet: {x: 155.56429207141065, y: 703.471049376801, z: 641.6418810973684}, Habitable: true, Surface Area: 34606129
Planet: {x: 517.5188139627555, y: 144.24178407591936, z: 982.0408057245056}, Habitable: true, Surface Area: 94118880
Planet: {x: 830.6809969292899, y: 430.9729313501309, z: 737.1119289905159}, Habitable: true, Surface Area: 7676672
Planet: {x: 897.6028121533321, y: 635.8303233557907, z: 230.6004148050087}, Habitable: true, Surface Area: 37281852
Planet: {x: 217.4288646051652, y: 821.4341067669382, z: 648.6358958893006}, Habitable: true, Surface Area: 7904114
Planet: {x: 615.6522213547488, y: 180.95514253256107, z: 876.5813501950852}, Habitable: false, Surface Area: 0
Planet: {x: 539.7213992564803, y: 972.7574759445952, z: 322.0641768411514}, Habitable: true, Surface Area: 53841981
Planet: {x: 562.8888018129668, y: 813.175221359787, z: 638.8870346036322}, Habitable: false, Surface Area: 0
Planet: {x: 434.7102970200365, y: 259.7054415144315, z: 84.19325608795857}, Habitable: true, Surface Area: 59601884
Planet: {x: 933.0497129769868, y: 36.44199615482036, z: 324.7614748178833}, Habitable: false, Surface Area: 0
Planet: {x: 825.5697499503733, y: 539.748711526057, z: 468.96447310121215}, Habitable: true, Surface Area: 16681905
Planet: {x: 713.8163255987007, y: 524.5914573213175, z: 112.40424783605785}, Habitable: true, Surface Area: 14087673
